Year,Round,Grand Prix,Circuit,Date,Latitude,Longitude,Weather
2022,11,Austrian GP,Red Bull Ring,2022-07-10,47.2197,14.7647,wet
2022,12,French GP,Circuit Paul Ricard,2022-07-24,43.2506,5.79167,dry
2022,13,Hungarian GP,Hungaroring,2022-07-31,47.5789,19.2486,unknown
2022,14,Belgian GP,Circuit de Spa-Francorchamps,2022-08-28,50.4372,5.97139,wet
2022,15,Dutch GP,Circuit Park Zandvoort,2022-09-04,52.3888,4.54092,wet
2022,16,Italian GP,Autodromo Nazionale di Monza,2022-09-11,45.6156,9.28111,dry
2022,17,Singapore GP,Marina Bay Street Circuit,2022-10-02,1.2914,103.864,wet
2022,18,Japanese GP,Suzuka Circuit,2022-10-09,34.8431,136.541,wet
2022,19,United States GP,Circuit of the Americas,2022-10-23,30.1328,-97.6411,dry
2022,20,Mexico City GP,Autódromo Hermanos Rodríguez,2022-10-30,19.4042,-99.0907,wet
2022,21,São Paulo GP,Autódromo José Carlos Pace,2022-11-13,-23.7036,-46.6997,dry
2022,22,Abu Dhabi GP,Yas Marina Circuit,2022-11-20,24.4672,54.6031,dry
2023,1,Bahrain GP,Bahrain International Circuit,2023-03-05,26.0325,50.5106,dry
2023,2,Saudi Arabian GP,Jeddah Corniche Circuit,2023-03-19,21.6319,39.1044,unknown
2023,3,Australian GP,Albert Park Grand Prix Circuit,2023-04-02,-37.8497,144.968,dry
2023,4,Azerbaijan GP,Baku City Circuit,2023-04-30,40.3725,49.8533,wet
2023,5,Miami GP,Miami International Autodrome,2023-05-07,25.9581,-80.2389,wet
2023,6,Monaco GP,Circuit de Monaco,2023-05-28,43.7347,7.42056,wet
2023,7,Spanish GP,Circuit de Barcelona-Catalunya,2023-06-04,41.57,2.26111,wet
2023,8,Canadian GP,Circuit Gilles Villeneuve,2023-06-18,45.5,-73.5228,wet
2023,9,Austrian GP,Red Bull Ring,2023-07-02,47.2197,14.7647,wet
2023,10,British GP,Silverstone Circuit,2023-07-09,52.0786,-1.01694,wet
2023,11,Hungarian GP,Hungaroring,2023-07-23,47.5789,19.2486,dry
2023,12,Belgian GP,Circuit de Spa-Francorchamps,2023-07-30,50.4372,5.97139,wet
2023,13,Dutch GP,Circuit Park Zandvoort,2023-08-27,52.3888,4.54092,unknown
2023,14,Italian GP,Autodromo Nazionale di Monza,2023-09-03,45.6156,9.28111,dry
2023,15,Singapore GP,Marina Bay Street Circuit,2023-09-17,1.2914,103.864,wet
2023,16,Japanese GP,Suzuka Circuit,2023-09-24,34.8431,136.541,dry
2023,17,Qatar GP,Losail International Circuit,2023-10-08,25.49,51.4542,unknown
2023,18,United States GP,Circuit of the Americas,2023-10-22,30.1328,-97.6411,wet
2023,19,Mexico City GP,Autódromo Hermanos Rodríguez,2023-10-29,19.4042,-99.0907,wet
2023,20,São Paulo GP,Autódromo José Carlos Pace,2023-11-05,-23.7036,-46.6997,wet
2023,21,Las Vegas GP,Las Vegas Strip Street Circuit,2023-11-19,36.1147,-115.173,dry
2023,22,Abu Dhabi GP,Yas Marina Circuit,2023-11-26,24.4672,54.6031,unknown
