Year,Round,Grand Prix,Circuit,Date,Latitude,Longitude,Weather
2023,7,Spanish Gp,Circuit De Barcelona-Catalunya,2023-06-04,41.57,2.26111,Wet
2023,8,Canadian Gp,Circuit Gilles Villeneuve,2023-06-18,45.5,-73.5228,Wet
2023,9,Austrian Gp,Red Bull Ring,2023-07-02,47.2197,14.7647,Wet
2023,10,British Gp,Silverstone Circuit,2023-07-09,52.0786,-1.01694,Wet
2023,11,Hungarian Gp,Hungaroring,2023-07-23,47.5789,19.2486,Dry
2023,12,Belgian Gp,Circuit De Spa-Francorchamps,2023-07-30,50.4372,5.97139,Wet
2023,13,Dutch Gp,Circuit Park Zandvoort,2023-08-27,52.3888,4.54092,Unknown
2023,14,Italian Gp,Autodromo Nazionale Di Monza,2023-09-03,45.6156,9.28111,Dry
2023,15,Singapore Gp,Marina Bay Street Circuit,2023-09-17,1.2914,103.864,Wet
2023,16,Japanese Gp,Suzuka Circuit,2023-09-24,34.8431,136.541,Dry
2023,17,Qatar Gp,Losail International Circuit,2023-10-08,25.49,51.4542,Unknown
2023,18,United States Gp,Circuit Of The Americas,2023-10-22,30.1328,-97.6411,Wet
2023,19,Mexico City Gp,Autódromo Hermanos Rodríguez,2023-10-29,19.4042,-99.0907,Wet
2023,20,São Paulo Gp,Autódromo José Carlos Pace,2023-11-05,-23.7036,-46.6997,Wet
2023,21,Las Vegas Gp,Las Vegas Strip Street Circuit,2023-11-19,36.1147,-115.173,Dry
2023,22,Abu Dhabi Gp,Yas Marina Circuit,2023-11-26,24.4672,54.6031,Unknown
